zone_table_id,event_type,text_id,left,z_min,right,z_max
10,10113,12013,128,1260,300,1432
10,10112,12012,312,1096,540,1380
10,10111,12011,84,840,544,1052
10,10111,12011,200,800,376,868
10,10111,12011,432,792,536,872
10,10109,12009,312,596,492,784
10,10110,12010,572,692,744,868
10,10110,12010,560,544,728,700
10,10110,12010,528,500,704,616
10,10110,12010,480,476,588,544
10,10108,12008,80,356,260,652
10,10107,12007,60,600,748,1088
10,10107,12007,60,468,704,528
10,10107,12007,56,404,632,484
10,10105,12005,544,120,668,388
10,10105,12005,672,112,788,392
10,10128,12028,728,444,1080,604
10,10128,12028,696,340,1088,448
10,10128,12028,768,604,1084,752
10,10122,12022,968,868,1044,964
10,10116,12016,948,1276,1096,1512
10,10117,12017,1468,1572,1632,1760
10,10119,12019,1296,1820,1452,1924
10,10120,12020,1764,1020,1976,1440
10,10124,12024,1644,716,1804,892
10,10125,12025,1456,704,1568,868
10,10125,12025,1408,724,1468,788
10,10125,12025,1448,788,1460,836
10,10125,12025,1440,788,1452,824
10,10125,12025,1424,784,1444,800
10,10125,12025,1432,788,1448,812
10,10125,12025,1456,836,1584,952
10,10125,12025,1476,944,1568,972
10,10126,12026,1840,500,1972,904
10,10126,12026,1784,496,1880,684
10,10121,12021,1120,948,1320,1364
10,10121,12021,840,788,1248,1212
10,10128,12028,796,748,1164,780
10,10101,12001,1776,100,1956,288
10,10102,12002,1572,80,1708,248
10,10102,12002,1584,228,1668,304
10,10102,12002,1384,80,1604,188
10,10104,12004,824,72,1036,288
10,10103,12003,1088,124,1156,328
10,10103,12003,1152,104,1196,308
10,10103,12003,1188,116,1256,276
10,10103,12003,1252,120,1288,256
10,10129,12029,1292,360,1508,556
10,10129,12029,1308,540,1456,584
10,10129,12029,1332,572,1384,652
10,10129,12029,1272,304,1440,384
10,10129,12029,1484,344,1572,488
10,10129,12029,1296,264,1380,312
10,10123,12023,1372,644,2004,1008
10,10123,12023,1548,532,2004,652
10,10123,12023,1388,588,1588,672
10,10123,12023,1460,560,1552,592
10,10121,12021,896,1192,992,1248
10,10121,12021,1084,1212,1128,1248
10,10120,12020,1652,1060,1768,1468
10,10120,12020,1616,1220,1700,1364
10,10120,12020,1732,1416,1868,1536
10,10118,12018,808,1552,1636,1604
10,10118,12018,1124,1476,1588,1568
10,10118,12018,1080,1520,1148,1564
10,10118,12018,916,1592,1652,1932
10,10118,12018,820,1596,960,1756
10,10118,12018,1168,1388,1568,1484
10,10118,12018,1168,1372,1548,1396
10,10131,12031,1384,1284,1436,1344
10,10130,12030,644,396,692,456
10,10132,12032,1644,1472,1728,1560
10,10132,12032,1672,1540,1836,1724
10,10127,12027,1756,356,1868,444
10,10127,12027,1824,320,1976,472
10,10133,12033,272,1732,352,1816
10,10133,12033,272,1708,324,1748
10,10133,12033,348,1760,380,1832
10,10114,12014,260,1588,504,1832
10,10115,12015,680,1528,800,1728
10,10115,12015,328,1404,692,1500
10,10115,12015,176,1472,688,1896
10,10107,12007,16,356,544,404
10,10107,12007,528,392,564,420
10,10107,12007,40,508,728,640
10,10106,12006,68,48,484,348
10,10106,12006,484,256,512,348
10,10161,12061,476,1824,600,1920
10,10163,12063,204,1576,252,1628
20,10214,12114,1512,184,1832,508
20,10219,12119,600,124,748,232
20,10217,12117,372,188,532,452
20,10218,12118,424,128,1128,468
20,10218,12118,464,388,880,628
20,10218,12118,872,460,900,556
20,10216,12116,948,552,1092,772
20,10216,12116,1080,660,1140,728
20,10213,12113,1460,720,1748,956
20,10225,12125,716,856,1128,1120
20,10225,12125,1116,884,1188,1096
20,10225,12125,932,1096,1140,1216
20,10225,12125,696,812,1048,864
20,10225,12125,692,752,924,812
20,10225,12125,768,692,884,780
20,10226,12126,972,1096,1084,1184
20,10210,12110,1568,1260,1728,1440
20,10210,12110,1548,1296,1748,1408
20,10212,12112,1780,932,1996,1112
20,10212,12112,1496,1032,1796,1212
20,10207,12107,1544,1716,2032,2020
20,10209,12109,1736,1428,1988,1708
20,10209,12109,1652,1628,1768,1708
20,10209,12109,1704,1576,1756,1644
20,10230,12130,1356,1588,1408,1652
20,10211,12111,1336,1460,1572,1552
20,10211,12111,1304,1380,1532,1496
20,10211,12111,1288,1236,1528,1388
20,10211,12111,1256,1148,1472,1312
20,10211,12111,1300,1092,1416,1168
20,10208,12108,1764,920,2004,1388
20,10208,12108,1424,1024,2036,1632
20,10208,12108,1484,1620,2012,1684
20,10208,12108,1508,1680,1988,1712
20,10208,12108,1332,1048,1440,1580
20,10208,12108,1296,1104,1332,1500
20,10208,12108,1272,1148,1304,1348
20,10208,12108,1256,1148,1272,1296
20,10233,12133,1252,1788,1332,1880
20,10206,12106,1356,1660,1504,1804
20,10206,12106,1252,1784,1540,1972
20,10206,12106,1292,1696,1364,1800
20,10211,12111,1520,1420,1556,1476
20,10204,12104,820,1760,996,1960
20,10204,12104,840,1708,996,1784
20,10204,12104,760,1828,828,1948
20,10204,12104,784,1788,832,1840
20,10204,12104,808,1744,848,1780
20,10227,12127,916,1236,1200,1660
20,10227,12127,1200,1276,1248,1676
20,10227,12127,1244,1308,1264,1676
20,10227,12127,1244,1572,1344,1676
20,10227,12127,1244,1504,1324,1584
20,10227,12127,1260,1356,1292,1508
20,10227,12127,1248,1336,1284,1364
20,10203,12103,320,1848,668,1988
20,10203,12103,320,1796,488,1868
20,10203,12103,392,1744,456,1800
20,10228,12128,468,1556,752,1720
20,10228,12128,524,1492,752,1572
20,10228,12128,604,1452,732,1504
